0,22,1
0,34,1
0,36,1
2,22,1
4,15,4
4,130,4
7,39,3
7,108,3
8,26,2
9,34,1
9,36,1
12,22,1
12,34,1
12,36,1
14,22,1
14,34,1
14,36,1
16,25,2
16,26,2
19,25,2
19,26,2
20,22,1
20,36,1
21,25,1
21,26,1
21,53,4
23,15,4
23,130,4
27,22,1
27,34,1
27,36,1
29,22,1
29,36,1
30,15,4
30,130,4
38,22,1
38,34,1
38,36,1
41,39,3
42,22,1
42,34,1
42,36,1
44,22,1
44,34,1
44,36,1
45,25,2
45,26,2
45,53,4
48,26,2
54,25,2
55,22,2
62,25,2
65,34,1
65,36,1
67,34,1
67,36,1
71,39,3
71,108,3
74,22,1
74,34,1
74,36,1
75,34,1
75,36,4
79,39,3
79,108,3
84,22,1
84,26,2
84,30,1
84,36,1
85,22,1
85,34,1
85,36,1
89,39,3
89,108,3
91,25,2
91,26,2
92,22,1
92,34,1
92,36,1
94,15,4
94,130,4
96,22,1
96,36,1
98,15,4
98,53,4
98,130,4
100,22,1
103,22,1
103,34,1
103,36,1
105,39,3
105,108,3
111,26,2
116,22,1
116,36,1
118,22,1
118,34,1
118,36,1
125,39,3
125,108,3
129,15,4
129,130,4
132,108,3
136,22,1
142,108,3
144,39,3
144,108,3
151,15,4
158,39,3
160,22,1
160,34,1
160,36,1
167,22,1
167,34,1
167,36,1
168,34,1
168,36,1
169,36,1
170,22,1
172,34,1
172,36,1
176,39,3
176,108,3
178,39,3
182,34,1
182,36,1
183,22,1
183,36,1
184,36,1
185,34,1
185,36,1
187,22,1
187,34,1
187,36,1
188,22,1
189,15,4
189,130,4
195,34,1
195,36,1
199,34,1
200,36,1
208,34,1
215,39,3
220,39,3
224,22,1
224,34,1
224,36,1
