0,15,8
0,40,11
1,13,4
1,62,5
2,13,8
2,62,5
3,40,3
4,13,4
5,13,4
5,62,5
5,89,5
5,99,5
6,39,6
6,41,6
6,62,5
6,112,6
7,42,11
7,79,11
8,39,2
8,112,2
9,13,12
9,15,12
9,40,11
9,48,12
9,79,11
10,62,5
10,89,5
11,62,5
11,112,6
20,13,4
20,62,5
20,89,5
24,40,3
24,42,3
27,15,8
27,75,7
28,40,3
32,15,8
32,42,7
34,39,2
34,41,2
34,89,1
34,112,2
34,158,2
35,42,3
35,62,5
35,89,5
36,39,2
44,42,7
49,42,11
49,78,11
51,13,8
52,13,8
53,40,11
53,42,11
53,75,11
54,62,9
55,62,9
56,62,9
60,62,5
60,99,5
66,62,5
66,89,5
66,104,5
68,15,12
68,40,11
70,40,11
70,41,2
70,73,11
71,78,11
74,80,10
82,13,8
82,104,5
84,42,11
86,88,11
94,62,5
94,89,5
97,62,5
98,89,5
98,62,5
103,42,7
103,78,7
105,62,5
106,42,3
118,13,3
119,13,8
124,15,12
127,40,11
127,78,11
127,88,11
139,40,11
144,40,11
151,112,6
163,62,5
