1,34,2
2,20,8
2,36,8
2,50,8
3,126,5
4,21,2
4,82,2
4,112,2
4,113,2
4,114,2
5,21,2
6,20,8
6,122,8
6,159,8
7,36,8
8,20,8
9,20,8
9,36,8
9,41,8
10,20,8
10,50,8
11,80,3
12,34,6
12,126,9
13,21,2
13,34,2
13,82,2
13,112,2
13,113,2
13,114,2
16,20,4
16,36,4
18,20,8
18,36,8
18,50,8
18,62,9
18,122,8
18,126,9
23,21,2
23,34,2
23,113,2
23,150,2
24,21,2
24,82,2
24,112,2
24,114,2
24,178,2
28,20,8
28,36,8
29,34,2
29,82,2
29,113,2
29,150,2
29,178,2
32,15,11
32,20,12
32,21,10
32,34,10
32,36,12
32,113,12
33,20,4
33,21,6
33,34,6
33,36,4
33,50,4
33,122,4
33,126,5
35,21,6
35,34,6
35,36,8
35,41,8
35,122,8
35,126,5
35,146,6
40,36,8
40,41,8
40,122,8
42,20,8
42,36,8
42,41,8
42,50,8
42,122,8
47,34,2
47,150,2
51,36,8
51,41,8
51,122,8
51,189,8
55,20,8
55,36,8
55,41,8
56,34,2
56,105,6
56,107,6
58,20,8
58,36,8
58,41,8
58,122,8
60,20,8
60,36,8
60,122,8
60,126,5
61,136,8
61,122,8
61,189,8
63,34,2
63,113,2
64,62,9
64,126,9
64,149,9
67,34,2
67,113,2
67,178,2
70,20,8
72,20,8
73,15,3
73,45,3
73,80,3
77,19,3
79,20,4
79,36,4
79,45,3
79,122,4
79,126,5
83,21,2
83,62,1
83,126,1
83,127,1
83,134,1
83,138,1
83,149,1
84,20,12
84,36,12
84,50,12
84,140,9
86,21,2
91,21,10
91,34,10
91,113,10
92,20,12
92,36,12
92,41,12
92,122,12
97,34,6
97,149,9
101,20,8
103,20,8
103,122,8
104,21,2
104,34,2
104,82,2
104,113,2
104,178,2
108,20,8
108,50,8
108,122,8
108,126,9
108,149,2
109,21,2
109,82,2
109,112,2
109,150,2
110,21,2
110,34,2
118,20,4
118,36,4
120,20,8
120,21,6
120,34,6
121,20,8
123,20,8
123,50,8
124,20,8
125,126,9
125,149,9
129,126,9
136,45,3
141,21,2
141,82,2
141,170,2
151,126,5
155,34,2
156,34,2
156,113,2
157,21,2
157,82,2
172,21,2
172,105,2
172,112,2
173,105,6
179,126,9
180,34,2
184,36,8
185,34,2
192,149,6
