0,43,12
1,20,11
2,16,5
2,17,5
2,27,5
3,17,5
3,25,5
3,27,5
4,17,5
4,25,5
4,76,4
5,20,11
5,23,11
6,16,5
6,17,5
6,25,5
6,27,5
6,88,4
7,20,11
7,23,11
7,38,11
8,20,11
14,63,2
15,16,5
15,25,5
19,16,5
19,17,5
19,25,5
19,27,5
19,56,6
30,17,5
30,25,5
31,16,5
31,17,5
31,25,5
31,27,5
31,56,5
34,25,1
35,20,11
35,23,11
36,23,11
36,38,11
39,20,11
39,23,11
41,16,5
41,25,5
41,27,5
41,76,4
44,16,5
44,17,5
45,63,6
45,66,6
48,23,3
49,63,2
49,68,2
51,16,5
51,17,5
51,25,5
51,27,5
54,25,5
54,76,4
58,17,5
58,25,5
58,27,5
62,64,2
65,16,9
65,27,9
65,76,8
67,16,5
67,17,5
69,20,11
69,53,12
69,76,12
77,23,11
79,20,11
84,20,7
84,76,8
91,20,11
99,23,11
105,16,9
