0,58,12
1,8,5
2,8,5
2,61,6
3,8,5
3,41,6
4,41,2
4,59,3
4,61,2
4,92,2
5,8,5
6,36,5
7,8,5
9,8,5
12,8,5
12,41,6
12,44,6
12,53,6
12,61,6
12,92,6
15,8,5
16,8,5
16,44,2
16,58,8
20,8,5
20,41,6
21,8,5
31,8,5
32,8,5
32,59,11
32,63,11
33,8,5
37,59,11
37,63,11
37,72,10
37,91,10
37,126,11
39,59,11
39,63,11
39,91,10
39,125,11
39,126,11
42,8,9
42,41,2
42,63,11
42,91,2
42,126,11
45,41,2
45,53,2
45,61,2
46,8,5
46,41,6
46,44,6
46,61,6
47,59,3
47,63,3
48,8,9
50,8,9
51,8,9
51,58,8
51,59,7
51,63,7
57,8,5
60,108,2
62,65,10
62,70,10
62,75,10
62,92,10
62,108,10
66,63,11
66,126,11
69,63,11
71,8,5
71,41,2
71,44,2
71,61,2
71,91,2
76,58,12
76,59,11
77,58,12
77,59,11
77,126,11
80,63,11
80,126,11
89,63,11
89,126,11
90,8,9
90,59,11
90,63,11
90,125,11
90,126,11
94,8,5
94,59,3
96,41,2
96,58,8
106,63,11
106,126,11
107,63,11
107,126,11
109,58,11
109,63,11
109,126,11
113,8,5
114,8,5
115,8,5
117,63,7
117,125,7
118,8,5
121,53,2
121,59,11
121,63,11
129,63,7
131,59,7
131,126,7
137,59,3
138,63,11
139,59,3
139,63,3
147,70,10
147,92,10
